4582159.933399836,4388099.419781692,4530255.517850528,4488473.524423135,4512312.995475295,4592046.891211918,4519737.270063516,4559912.080514051,4496404.214299924,4308335.216995122
4388099.419781692,4198627.275106585,4348893.632989498,4301620.505827668,4348393.887300232,4390756.538804065,4358437.114302652,4367805.223152545,4329978.7624793425,4107745.4234048063
4530255.517850528,4348893.632989498,4475220.49647823,4474388.233413991,4453885.435730937,4535819.314403804,4484123.662980791,4522929.360304004,4477090.149626447,4275173.198868942
4488473.524423135,4301620.505827668,4474388.233413991,4410128.970274925,4462967.175141737,4503466.01937432,4482704.003562288,4473330.639474532,4409698.420004096,4204384.857563159
4512312.995475295,4348393.887300232,4453885.435730937,4462967.175141737,4435918.698808342,4523273.327676498,4444190.094493844,4493425.170609264,4469762.640649584,4282626.623210827
4592046.891211918,4390756.538804065,4535819.314403804,4503466.01937432,4523273.327676498,4590677.285946002,4563828.974912811,4554117.7838352155,4516436.4777366,4292294.326013535
4519737.270063516,4358437.114302652,4484123.662980791,4482704.003562288,4444190.094493844,4563828.974912811,4484353.760485409,4492878.965937094,4467321.33255256,4272216.1817755755
4559912.080514051,4367805.223152545,4522929.360304004,4473330.639474532,4493425.170609264,4554117.7838352155,4492878.965937094,4511504.519822242,4489974.437906222,4295440.319902698
4496404.214299924,4329978.7624793425,4477090.149626447,4409698.420004096,4469762.640649584,4516436.4777366,4467321.33255256,4489974.437906222,4425295.742952999,4251743.693084842
4308335.216995122,4107745.4234048063,4275173.198868942,4204384.857563159,4282626.623210827,4292294.326013535,4272216.1817755755,4295440.319902698,4251743.693084842,4021099.9496620772
